recipe,method,k,spacing,alpha,beta,bpb,eval_seconds,stream_seed,paired_delta_method_minus_raw,paired_se,mean_alpha_by_numel
raw,Raw iterate,0,0,0.0,nan,1.0575896009207422,2.3642664249055088,1103,,,
tsa:k4:s16:a0.550,TSA,4,16,0.55,nan,1.0564362271938825,2.3541143138427287,1103,-0.0011533737268595498,5.685635039501124e-05,
lawa:k4:s16:a1.000,LAWA,4,16,1.0,nan,1.05665120753335,2.381252048071474,1103,-0.000938393387391936,9.962382472625444e-05,
tsa:k4:s32:a0.550,TSA,4,32,0.55,nan,1.0559040210614328,2.3562476651277393,1103,-0.0016855798593094068,6.0472003272019286e-05,
lawa:k4:s32:a1.000,LAWA,4,32,1.0,nan,1.0564124342755778,2.3086923360824585,1103,-0.0011771666451644164,0.0001015710988334068,
tsa:k4:s64:a0.550,TSA,4,64,0.55,nan,1.0557457231390768,2.3574929400347173,1103,-0.0018438777816653779,7.913188249721673e-05,
lawa:k4:s64:a1.000,LAWA,4,64,1.0,nan,1.0568893465984666,2.554523264989257,1103,-0.0007002543222754271,0.00013648215439668145,
tsa:k8:s16:a0.550,TSA,8,16,0.55,nan,1.0558131630161982,2.3036912698298693,1103,-0.0017764379045438507,6.66096626636642e-05,
lawa:k8:s16:a1.000,LAWA,8,16,1.0,nan,1.0565855892460958,2.348940897034481,1103,-0.0010040116746463136,0.00011415154910131936,
tsa:k8:s32:a0.550,TSA,8,32,0.55,nan,1.0555965960121754,2.3406034640502185,1103,-0.0019930049085666915,8.680325116537478e-05,
lawa:k8:s32:a1.000,LAWA,8,32,1.0,nan,1.0570576698723764,2.4131317590363324,1103,-0.0005319310483658975,0.00015028656984281024,
tsa:k8:s64:a0.550,TSA,8,64,0.55,nan,1.055291287958803,2.294085009023547,1103,-0.00229831296193906,0.00012013785081550281,
lawa:k8:s64:a1.000,LAWA,8,64,1.0,nan,1.0580963152558036,2.348400176037103,1103,0.0005067143350614665,0.0002016664863967555,
tsa:k16:s16:a0.550,TSA,16,16,0.55,nan,1.0555545915788425,2.5237955399788916,1103,-0.00203500934189964,8.927742210288324e-05,
lawa:k16:s16:a1.000,LAWA,16,16,1.0,nan,1.0572428071923945,2.3678825479000807,1103,-0.0003467937283474001,0.00015597353283803807,
tsa:k16:s32:a0.550,TSA,16,32,0.55,nan,1.0551549046298638,2.379208985948935,1103,-0.002434696290878205,0.00012074549624016292,
lawa:k16:s32:a1.000,LAWA,16,32,1.0,nan,1.0582301564921426,2.4091018210165203,1103,0.0006405555714004985,0.0002088697935647477,
tsa:k16:s64:a0.550,TSA,16,64,0.55,nan,1.0560231984740769,2.367094217799604,1103,-0.001566402446665181,0.00017725247140389208,
lawa:k16:s64:a1.000,LAWA,16,64,1.0,nan,1.0624499257256785,2.310864191967994,1103,0.00486032480493639,0.0002980640509013291,
ewa:beta0.50:k8:s32,Matched-window EWA,8,32,nan,0.5,1.0558472354749755,2.441951278829947,1103,-0.0017423654457666218,7.022510745242783e-05,
ewa:beta0.75:k8:s32,Matched-window EWA,8,32,nan,0.75,1.0558356228763166,2.333846720866859,1103,-0.0017539780444256181,0.00010335283442618324,
ewa:beta0.90:k8:s32,Matched-window EWA,8,32,nan,0.9,1.0564376044219728,2.3735661420505494,1103,-0.0011519964987692574,0.0001294501782581953,
ewa:beta0.95:k8:s32,Matched-window EWA,8,32,nan,0.95,1.0567307413044522,2.364271937869489,1103,-0.0008588596162898478,0.0001416305159221454,
ema:0.95:16:16,Checkpoint EMA,16,16,nan,0.95,1.05664900885167,2.341975504066795,1103,-0.0009405920690720345,0.00013592664384583233,
swastyle:32:16,SWA-style late average,32,16,1.0,nan,1.0583457314583864,2.3388837170787156,1103,0.0007561305376444146,0.00021188923832469965,
adaptive:hybrid:8:32:1.0:all,Adaptive TSA (all tensors),8,32,0.5864582210742559,nan,1.055644983837276,2.4349608779884875,1103,-0.001944617083466063,8.588172054890041e-05,0.5864582210742559
adaptive:hybrid:8:32:1.0:muon,Adaptive TSA (Muon tensors),8,32,0.14951754686909824,nan,1.0556871973827213,2.428553057136014,1103,-0.0019024035380207302,6.872947378649734e-05,0.14951754686909824
